##エリア番号,設置数,アイテム名及び種類,効果,回数,
##0,,分校,,,
##1,,北の岬,,,
1&28,7,ネズミ捕り機<>TN,15,1,
1&28,7,ネズミ捕り機<>TO,15,1,
1|28,20,水<>HH,20,1,
1|3|5|6|7|8|9|28,35,地雷<>TN,20,1,
1|3|5|6|7|8|9,30,地雷<>TO,20,1,
##2,,北村住宅街,,,
2|10|13|14|18,30,石ころ<>WC,5-10,20-30,
2,5,包丁<>WN,15,∞,
2,1,コップ<>WC,10,1,
2|14,6,裁縫道具<>Y,5|7|10,1,
2,3,皿<>WC,10,1,
2,5,鍋<>WC,10,1,
2,5,グラス<>WC,10,1,
2,1,テレビ<>WC,20,1,
2,1,テーブル<>WC,20,1,
2,1,棚<>WC,15,1,
2,1,家宝の刀<>WN,25,∞,
2,12,空き瓶<>WC,2,1,
2,6,空き缶<>WC,2,1,
2,5,コップ<>WC,10,1,
2|10|14|25,40,砥石<>Y,2-5,1,
##3,,北村役場,,,
##4,,郵便局,,,
4&5&24,8,ピアノ線<>TN,10,1,
4|5|24,35,ピアノ線<>TO,10,1,
##5,,消防署,,,
##6,,観音堂,,,
6,5,バッテリ<>Y,1,1,
6,3,防火服<>DBA,15,20,
6,18,水<>HH,20,1,
6,3,防火ヘルメット<>DH,3,10,
##7,,兵陵地帯,,,
7,1,観音菩薩像<>WB,5,∞,
7,4,袈裟<>DBN,10,25,
7,1,閻魔像<>WB,7,∞,
7,1,阿修羅像<>WB,10,∞,
7,1,地蔵菩薩像<>WB,8,∞,
7,3,神主の衣装<>DBN,10,15,
##8,,清水池,,,
8,26,水<>HH,20,1,
##9,,西村神社,,,
9,3,御神籤<>Y,1,1,
9,3,神主の衣装<>DBN,10,15,
9,9,御神籤<>Y,1,1,
##10,,ホテル跡,,,
10,5,包丁<>WNS,15,∞,
10,1,コップ<>WC,10,1,
10,1,皿<>WC,10,1,
10,5,鍋<>WC,10,1,
10,5,グラス<>WC,10,1,
10,1,テレビ<>WC,20,1,
10,1,テーブル<>WC,20,1,
10,1,棚<>WC,15,1,
10,1,家宝の刀<>WNS,25,∞,
10,1,肥料<>Y,1,1,
10,2,皿<>WC,10,1,
10,5,コップ<>WC,10,1,
10,1,サツマイモ<>SH,50,1,
10,1,ヤマイモ<>SH,40,1,
10,1,ジャガイモ<>SH,40,1,
10,1,ゴボウ<>SH,30,1,
10,1,ニンジン<>SH,30,1,
10,1,タマネギ<>SH,20,1,
10,1,ニンニク<>SH,20,1,
10,1,ショウガ<>SH,20,1,
##11,,山岳地帯・西北,,,
11,1,つるはし<>WS,15,∞,
11,1,作業用ヘルメット<>DH,4,10,
11,1,作業着<>DBN,10,10,
11|12|15|16|17,20,岩石<>WC,20-25,5-10,
##12,,山岳地帯・北,,,
12,1,スコップ<>WSB,10,∞,
12,1,作業用ヘルメット<>DH,4,10,
##13,,トンネル,,,
13,3,釘<>Y,1,1,
13,3,釘<>Y,2,1,
13,3,釘<>Y,3,1,
13,3,釘<>Y,4,1,
13,4,フルフェイス<>DH,5,10,
##14,,西村住宅街,,,
14,5,包丁<>WNS,15,∞,
14,5,コップ<>WC,10,1,
14,3,皿<>WC,10,1,
14,5,鍋<>WC,10,1,
14,5,グラス<>WC,10,1,
14,1,テレビ<>WC,20,1,
14,1,テーブル<>WC,20,1,
14,1,棚<>WC,15,1,
14,5,空き瓶<>WC,2,1,
14,10,空き缶<>WC,2,1,
14,1,カレー粉<>SH,10,1,
14,1,ショウユ<>SH,10,1,
14,1,ソース<>SH,10,1,
##15,,山岳地帯・西,,,
15,1,シャベル<>WSB,5,∞,
15,1,作業用ヘルメット<>DH,4,10,
##16,,山岳地帯・南,,,
16,1,作業着<>DBN,10,10,
16,1,シャベル<>WSB,5,∞,
##17,,山岳地帯・南東,,,
17,1,シャベル<>WSB,5,∞,
17,1,作業着<>DBN,10,10,
##18,,寺,,,
18,1,木魚<>WC,3,1,
18,16,卒塔婆<>WB,4,1,
##19,,廃校,,,
19,7,鉛筆<>WS,2,∞,
19,6,消しゴム<>WC,1,1,
19,4,フラスコ<>WC,3,1,
19,3,モップ<>WB,8,1,
19,6,傷薬<>HH,40,1,
19,5,黒板消し<>WC,2,1,
19,1,白チョーク<>WC,2,10,
19,1,赤チョーク<>WC,2,10,
19,1,黄チョーク<>WC,2,10,
19,1,緑チョーク<>WC,2,10,
19,1,茶チョーク<>WC,2,10,
19,1,人体模型<>WB,3,∞,
19,1,巨大三角定規<>WB,5,∞,
19,1,巨大コンパス<>WB,5,∞,
19,1,椅子<>WB,12,∞,
##20,,南村神社,,,
20,11,矢<>Y,1,10,
20,13,御神籤<>Y,1,1,
##21,,森林地帯・西,,,
21,1,鎌<>WN,15,1,
##22,,森林地帯・東,,,
##23,,源二郎池,,,
23,26,水<>HH,20,1,
##24,,焼所,,,
24,11,ガソリン<>Y,1,1,
##25,,南村住宅街,,,
25,5,包丁<>WNS,15,∞,
25,6,コップ<>WC,5,5,
25,8,粉末ジュース<>HH,3,1,
25,3,皿<>WC,5,5,
25,5,鍋<>WC,10,10,
25,5,グラス<>WC,10,5,
25,1,テレビ<>WC,20,10,
25,1,テーブル<>WC,20,10,
25,1,棚<>WC,15,10,
##26,,診療所,,,
26,15,傷薬<>HH,40,1,
26,5,傷薬<>HD,40,1,
26,3,白衣<>DBN,10,20,
26,15,栄養ドリンク<>SH,50,1,
26,5,栄養ドリンク<>SD,50,1,
##27,,灯台,,,
27,20,シチュー<>SH,25,1,
27,10,シチュー<>SD,25,1,
##28,,南の岬,,,
##99,,分校を除いたランダム,,,
99,100,弾丸<>Y,1,5-10,
99,100,矢<>Y,1,6-12,
99,25,水<>HH,20,1,
99,12,和弓<>WA,18,0,
99,5,ボウガン<>WA,20,0,
99,8,クロスボウ<>WA,23,0,
99,3,アルヴァレスタ<>WA,28,0,
99,1,火縄銃<>WG,20,0,
99,1,モーゼルC96<>WG,20,0,
99,2,22口径2連発デリンジャー<>WG,20,0,
99,1,南部 十四年式拳銃<>WG,22,0,
99,2,S&W チーフスペシャル38口径<>WG,23,0,
99,2,S&W M59オート<>WG,24,0,
99,2,コルトハイウェイパトロールマン38口径<>WG,24,0,
99,2,CZ・M75<>WG,25,0,
99,2,ベレッタM92F<>WG,25,0,
99,2,ワルサーPPK9ミリ<>WG,25,0,
99,2,コルトガバメント45口径<>WG,25,0,
99,2,S&W M19・357マグナム<>WG,26,0,
99,2,シグ・ザウエルP230 9mm<>WG,26,0,
99,2,ブローニングハイパワー9mm<>WG,26,0,
99,1,ウージー9mmサブマシンガン<>WG,30,0,
99,1,イングラムM10サブマシンガン<>WG,30,0,
99,3,トランプ<>WC,2,54,
99,3,ダーツ<>WC,3,30,
99,3,ブーメラン<>WC,10,20,
99,3,手裏剣<>WC,12,15,
99,3,投げナイフ<>WC,22,10,
99,10,花火<>WD,8,30,
99,10,煙玉<>WD,10,30,
99,8,爆竹<>WD,12,20,
99,3,手榴弾<>WD,35,10,
99,5,ナタ<>WN,17,∞,
99,4,斧<>WN,22,∞,
99,3,サーベル<>WN,23,∞,
99,5,包丁<>WNS,15,∞,
99,5,短刀<>WNS,15,∞,
99,5,ナイフ<>WNS,17,∞,
99,3,中華包丁<>WNS,18,∞,
99,2,小太刀<>WNS,20,∞,
99,3,軍用ナイフ<>WNS,20,∞,
99,2,両刃ナイフ<>WNS,20,∞,
99,2,ダイバーズナイフ<>WNS,20,∞,
99,2,日本刀<>WNS,24,∞,
99,2,家宝の刀<>WNS,25,∞,
99,2,太刀<>WNS,26,∞,
99,1,名刀正宗<>WNS,28,∞,
99,3,フォーク<>WS,7,∞,
99,3,アイスピック<>WS,8,∞,
99,3,注射器<>WS,10,∞,
99,2,レイピア<>WS,14,∞,
99,3,辞書<>WB,6,∞,
99,3,熊の置物<>WB,9,∞,
99,3,モップ<>WB,10,∞,
99,3,モデルガン<>WB,11,∞,
99,2,鞭<>WB,12,∞,
99,3,ギター<>WB,12,∞,
99,3,ヌンチャク<>WB,12,∞,
99,3,特殊警棒<>WB,13,∞,
99,3,巨大しゃもじ<>WB,13,∞,
99,3,鎖<>WB,13,∞,
99,2,テニスラケット<>WB,13,∞,
99,2,トンファー<>WB,15,∞,
99,2,棍棒<>WB,15,∞,
99,2,スコップ<>WB,15,∞,
99,2,バット<>WB,15,∞,
99,2,竹刀<>WB,17,∞,
99,2,鉄パイプ<>WB,18,∞,
99,2,ダンベル<>WB,20,∞,
99,2,金属バット<>WB,22,∞,
99,2,釘バット<>WB,24,∞,
99,2,鉄鎚<>WB,25,∞,
99,2,鎖付き釘バット<>WB,25,∞,
99,3,バンテージ<>WP,5,∞,
99,3,ボクシンググローブ<>WP,8,∞,
99,2,セスタス<>WP,12,∞,
99,2,メリケンサック<>WP,16,∞,
99,1,バグナク<>WP,20,∞,
99,3,エプロン<>DBN,5,15,
99,3,Tシャツ<>DBN,5,20,
99,3,水着<>DBN,5,20,
99,3,チャイナドレス<>DBN,6,20,
99,3,柔道着<>DBN,8,20,
99,3,空手着<>DBN,8,20,
99,3,トレンチコート<>DBN,8,25,
99,3,作業服<>DBN,8,30,
99,3,メイド服<>DBN,10,20,
99,3,軍服<>DBN,10,20,
99,3,巫女の衣装<>DBN,10,15,
99,3,迷彩服<>DBN,10,15,
99,3,鋼の鎧<>DB,18,30,
99,2,鎖帷子<>DBK,18,20,
99,2,甲冑<>DBA,18,20,
99,2,家宝の甲冑<>DBA,20,20,
99,2,源氏の鎧<>DB,22,25,
99,3,鉢巻<>DH,2,15,
99,3,リボン<>DH,2,5,
99,3,防災頭巾<>DH,3,15,
99,3,麦わら帽子<>DH,3,15,
99,3,サングラス<>DH,3,5,
99,3,マスク<>DH,4,5,
99,2,フルフェイス<>DH,7,15,
99,3,兜<>DH,8,20,
99,3,胴丸<>DB,15,15,
99,3,ハイヒール<>DF,2,10,
99,3,スニーカー<>DF,3,15,
99,3,軍靴<>DF,6,15,
99,5,毛皮のブーツ<>DF,6,15,
99,3,防弾チョッキ<>ADB,10,15,
99,25,傷薬<>HH,40,1,
99,5,傷薬<>HD,40,1,
99,5,固形栄養食<>SH,70,1,
99,3,ダイエット食品<>SH,80,1,
99,3,簡易レーダー<>R1,1,∞,
99,1,レーダー<>R2,1,∞,
99,4,砥石<>Y,1-3,1,
99,10,御神籤<>Y,1,1,
99,15,バッテリ<>Y,1,1,
99,10,軽油<>Y,1,1,
99,10,肥料<>Y,1,1,
99,10,ガソリン<>Y,1,1,
99,10,信管<>Y,1,1,
99,10,スプレー缶<>Y,1,1,
99,10,空き瓶<>Y,1,1,
99,10,導火線<>Y,1,1,
99,10,ライター<>Y,1,1,
99,5,パワーブック<>Y,1,1,
99,5,携帯電話<>Y,1,1,
99,25,毒薬<>Y,1,1,
99,25,中和剤<>Y,1,1,
99,6,携帯スピーカ<>Y,1,∞,
